disease,symptoms
transient ischemic attack,"headache,difficulty speaking,dizziness,disturbance of memory,loss of sensation,depressive or psychotic symptoms"
injury to the hand,"hand or finger swelling,wrist swelling,hand or finger pain"
headache after lumbar puncture,"neck pain,painful urination,low back pain,dizziness,nausea"
glaucoma,"eye redness,itchiness of eye,pain in eye,foreign body sensation in eye,diminished vision,lacrimation"
diabetic retinopathy,"foreign body sensation in eye,lacrimation"
acute pancreatitis,"upper abdominal pain,diarrhea,side pain,lower body pain,sharp abdominal pain,burning abdominal pain,back pain,sharp chest pain,vomiting"
problem during pregnancy,"sharp abdominal pain,vomiting,problems during pregnancy,spotting or bleeding during pregnancy,headache,pain during pregnancy,back pain"
chronic pain disorder,"headache,knee pain,hip pain,pelvic pain"
osteochondrosis,"foot or toe pain,knee pain,bowlegged or knock-kneed,elbow pain"
ischemia of the bowel,"constipation,burning abdominal pain,vomiting,nausea"
atrophic vaginitis,"vaginal itching,frequent urination,blood in urine,suprapubic pain"
transient ischemic attack,"dizziness,weakness,paresthesia,symptoms of the face,loss of sensation"
choledocholithiasis,"jaundice,decreased appetite,chills,nausea,vomiting,upper abdominal pain"
peritonitis,"side pain,shortness of breath,back pain"
asthma,"coryza,fever,difficulty breathing,coughing up sputum,shortness of breath,nasal congestion,allergic reaction"
atrophic vaginitis,"involuntary urination,painful urination,pain during intercourse,vaginal itching,suprapubic pain,blood in urine"
acute pancreatitis,"upper abdominal pain,vomiting,nausea,lower body pain,abusing alcohol,sharp abdominal pain"
acute pancreatitis,"side pain,vomiting,diarrhea,sharp abdominal pain,burning abdominal pain,abusing alcohol,lower body pain"
transient ischemic attack,"headache,focal weakness,symptoms of the face,disturbance of memory,loss of sensation,dizziness,paresthesia"
cirrhosis,"blood in stool,regurgitation.1,vomiting blood,upper abdominal pain,shortness of breath,abdominal distention,regurgitation"
fibromyalgia,"back pain,ache all over,low back pain,arm pain,headache,sharp chest pain"
problem during pregnancy,"cramps and spasms,spotting or bleeding during pregnancy,vomiting,sharp abdominal pain,nausea"
pyelonephritis,"blood in urine,lower abdominal pain,low back pain,sharp abdominal pain,side pain"
transient ischemic attack,"paresthesia,dizziness,focal weakness,symptoms of the face,loss of sensation,headache"
tinnitus of unknown cause,"plugged feeling in ear,hoarse voice,headache,ringing in ear"
injury to the knee,"knee pain,leg pain,foot or toe swelling"
ischemia of the bowel,"nausea,retention of urine,sharp abdominal pain,burning abdominal pain,vomiting"
atrophic vaginitis,"blood in urine,vaginal itching,frequent urination,pain during intercourse,vaginal discharge"
acute pancreatitis,"side pain,sharp chest pain,nausea,upper abdominal pain,abusing alcohol,burning abdominal pain,sharp abdominal pain,hemoptysis"
asthma,"difficulty breathing,allergic reaction,coughing up sputum,cough,chest tightness,sharp chest pain"
chronic pain disorder,"sharp abdominal pain,pelvic pain,ache all over,leg pain,knee pain,hip pain,low back pain"
subdural hemorrhage,"headache,facial pain,depressive or psychotic symptoms"
problem during pregnancy,"back pain,problems during pregnancy,pain during pregnancy,cramps and spasms,nausea,spotting or bleeding during pregnancy,sharp abdominal pain"
problem during pregnancy,"pain during pregnancy,problems during pregnancy,lower abdominal pain,pelvic pain,nausea,spotting or bleeding during pregnancy"
fibromyalgia,"headache,arm pain,neck pain,leg pain,low back pain,sharp chest pain"
chronic pain disorder,"hip pain,sharp abdominal pain,knee pain"
diabetic retinopathy,"foreign body sensation in eye,itchiness of eye,abnormal movement of eyelid,diminished vision"
atrophic vaginitis,"involuntary urination,painful urination,vaginal itching,blood in urine,suprapubic pain,vaginal discharge,frequent urination"
pyelonephritis,"side pain,sharp abdominal pain,vomiting,suprapubic pain,frequent urination,blood in urine"
fibromyalgia,"leg pain,muscle pain,ache all over,low back pain,sharp chest pain,arm pain"
acute pancreatitis,"sharp chest pain,side pain,diarrhea,hemoptysis,burning abdominal pain"
acute pancreatitis,"sharp abdominal pain,abusing alcohol,hemoptysis"
thoracic aortic aneurysm,"dizziness,fatigue,sharp abdominal pain,jaundice,shortness of breath"
acute pancreatitis,"sharp abdominal pain,lower body pain,back pain,sharp chest pain"
acute pancreatitis,"side pain,diarrhea,abusing alcohol,burning abdominal pain,nausea"
osteochondrosis,"elbow pain,bowlegged or knock-kneed,foot or toe pain"
asthma,"cough,difficulty breathing,coryza,chest tightness,coughing up sputum,sharp chest pain"
sick sinus syndrome,"palpitations,dizziness,fainting,increased heart rate,shortness of breath"
asthma,"coryza,fever,allergic reaction,chest tightness,coughing up sputum,nasal congestion"
eating disorder,"insomnia,weight gain,depressive or psychotic symptoms"
choledocholithiasis,"chills,nausea,side pain,decreased appetite,jaundice"
sick sinus syndrome,"fainting,shortness of breath,irregular heartbeat"
glaucoma,"foreign body sensation in eye,itchy eyelid,symptoms of eye,eye redness,pain in eye,spots or clouds in vision"
asthma,"shortness of breath,coryza,chest tightness,sharp chest pain,allergic reaction"
problem during pregnancy,"nausea,vomiting,problems during pregnancy,headache"
eye alignment disorder,"lack of growth,irregular appearing scalp,symptoms of eye,pain in eye,cross-eyed,eye moves abnormally"
peritonitis,"intermenstrual bleeding,sharp abdominal pain,back pain,shortness of breath"
osteochondrosis,"knee pain,hand or finger pain,bowlegged or knock-kneed,elbow pain"
ischemia of the bowel,"vomiting,sharp abdominal pain,constipation"
diabetic retinopathy,"spots or clouds in vision,double vision,itchiness of eye,pain in eye,lacrimation,symptoms of eye,foreign body sensation in eye"
problem during pregnancy,"pelvic pain,back pain,nausea,pain during pregnancy,headache"
vaginitis,"painful urination,vaginal itching,pelvic pain,vaginal discharge,pain during intercourse,suprapubic pain"
acute pancreatitis,"burning abdominal pain,hemoptysis,back pain,diarrhea,sharp abdominal pain,upper abdominal pain,nausea"
ischemia of the bowel,"constipation,retention of urine,nausea,blood in stool"
acute pancreatitis,"abusing alcohol,lower body pain,side pain,upper abdominal pain,diarrhea,sharp abdominal pain,vomiting"
acute pancreatitis,"vomiting,diarrhea,lower body pain,back pain,sharp chest pain,nausea,burning abdominal pain"
acute pancreatitis,"vomiting,diarrhea,sharp chest pain,burning abdominal pain,sharp abdominal pain,nausea"
atrophic vaginitis,"blood in urine,vaginal discharge,painful urination,vaginal itching"
osteochondrosis,"foot or toe pain,elbow pain,knee pain"
glaucoma,"eye redness,lacrimation,diminished vision,symptoms of eye,spots or clouds in vision"
panic disorder,"palpitations,abnormal involuntary movements,insomnia,shortness of breath,anxiety and nervousness,breathing fast,irregular heartbeat"
sick sinus syndrome,"dizziness,fainting"
eye alignment disorder,"lack of growth,irregular appearing scalp,cross-eyed,eye moves abnormally"
ischemia of the bowel,"burning abdominal pain,vomiting,blood in stool"
peritonitis,"sharp abdominal pain,shortness of breath,intermenstrual bleeding,back pain"
headache after lumbar puncture,"vomiting,neck pain,headache,painful urination,nausea"
vaginitis,"pain during intercourse,sharp abdominal pain,painful urination,pelvic pain,vaginal redness,vaginal itching"
glaucoma,"lacrimation,foreign body sensation in eye,itchy eyelid,eye redness,spots or clouds in vision,itchiness of eye,diminished vision"
acute pancreatitis,"nausea,diarrhea,sharp abdominal pain,abusing alcohol,side pain"
cirrhosis,"sharp abdominal pain,vomiting blood,abdominal distention,regurgitation,blood in stool,shortness of breath,peripheral edema,regurgitation.1"
acute pancreatitis,"side pain,hemoptysis,vomiting,abusing alcohol,sharp chest pain"
problem during pregnancy,"spotting or bleeding during pregnancy,problems during pregnancy,vomiting,cramps and spasms,pelvic pain,sharp abdominal pain,lower abdominal pain"
peritonitis,"shortness of breath,back pain,intermenstrual bleeding,nausea,side pain"
diabetic retinopathy,"abnormal movement of eyelid,itchiness of eye,foreign body sensation in eye,symptoms of eye,diminished vision"
choledocholithiasis,"decreased appetite,chills,side pain,nausea"
acute pancreatitis,"nausea,hemoptysis,vomiting,diarrhea,sharp chest pain,lower body pain,side pain"
acute pancreatitis,"diarrhea,upper abdominal pain,back pain,sharp chest pain,burning abdominal pain,hemoptysis"
problem during pregnancy,"pelvic pain,vomiting,lower abdominal pain"
headache after lumbar puncture,"low back pain,vomiting,painful urination,nausea"
osteochondrosis,"knee pain,bowlegged or knock-kneed,ankle pain"
chronic pain disorder,"ache all over,shoulder pain,knee pain,hip pain,pelvic pain,back pain"
panic disorder,"depressive or psychotic symptoms,abnormal involuntary movements,depression,breathing fast,insomnia,dizziness,anxiety and nervousness,irregular heartbeat,shortness of breath"
eye alignment disorder,"cross-eyed,eye deviation,lack of growth,eye moves abnormally,irregular appearing scalp"
eating disorder,"decreased appetite,insomnia,weight gain,difficulty eating,acne or pimples"
vaginitis,"lower abdominal pain,sharp abdominal pain,pain during pregnancy,vaginal redness,suprapubic pain"
atrophic vaginitis,"vaginal itching,vaginal discharge,suprapubic pain,painful urination"
injury to the hand,"wrist swelling,joint pain,wrist pain,skin growth,hand or finger swelling"
fracture of the hand,"arm stiffness or tightness,hand or finger pain,wrist stiffness or tightness,wrist pain,hand or finger stiffness or tightness"
panic disorder,"palpitations,shortness of breath,depressive or psychotic symptoms,insomnia,breathing fast,abnormal involuntary movements,irregular heartbeat"
vaginitis,"vaginal redness,painful urination,lower abdominal pain,pain during intercourse,pelvic pain,suprapubic pain,vaginal itching"
chronic pain disorder,"back pain,ache all over,leg pain,sharp abdominal pain,shoulder pain,pelvic pain"
eating disorder,"insomnia,difficulty eating,abusing alcohol,weight gain"
thrombophlebitis,"foot or toe pain,leg pain,arm swelling,skin swelling,arm pain"
pyelonephritis,"nausea,frequent urination,blood in urine,low back pain,sharp abdominal pain,vomiting"
pyloric stenosis,"arm stiffness or tightness,cough"
eye alignment disorder,"lack of growth,eye moves abnormally,irregular appearing scalp,diminished vision"
ischemia of the bowel,"retention of urine,vomiting,constipation,burning abdominal pain"
atelectasis,"headache,sharp chest pain,dizziness,cough"
thoracic aortic aneurysm,"sharp chest pain,shortness of breath,chest tightness,fatigue"
acute pancreatitis,"upper abdominal pain,lower body pain,back pain"
atrophic vaginitis,"pain during intercourse,vaginal discharge,vaginal itching,frequent urination,suprapubic pain,involuntary urination,blood in urine"
thoracic aortic aneurysm,"sharp chest pain,jaundice,chest tightness,dizziness,sharp abdominal pain,fatigue"
acute pancreatitis,"vomiting,hemoptysis,back pain,side pain,abusing alcohol,upper abdominal pain,sharp chest pain"
acute pancreatitis,"hemoptysis,upper abdominal pain,side pain,burning abdominal pain,abusing alcohol,diarrhea"
vaginitis,"vaginal discharge,vaginal pain,sharp abdominal pain,pelvic pain,vaginal itching"
diabetic retinopathy,"abnormal movement of eyelid,diminished vision,double vision"
panic disorder,"palpitations,abnormal involuntary movements,depression,anxiety and nervousness,chest tightness,dizziness"
eye alignment disorder,"lack of growth,symptoms of eye,irregular appearing scalp,cross-eyed,pain in eye,double vision"
eye alignment disorder,"irregular appearing scalp,lack of growth,diminished vision,symptoms of eye,double vision"
salivary gland disorder,"sore throat,swollen lymph nodes,cough"
ischemia of the bowel,"nausea,blood in stool,vomiting,burning abdominal pain"
acute pancreatitis,"back pain,diarrhea,sharp chest pain,hemoptysis,lower body pain,upper abdominal pain,burning abdominal pain"
acute pancreatitis,"upper abdominal pain,back pain,hemoptysis,vomiting,burning abdominal pain,nausea"
vaginitis,"pelvic pain,vaginal redness,vaginal discharge,pain during pregnancy,suprapubic pain"
vaginitis,"sharp abdominal pain,vaginal pain,painful urination,vaginal itching,vaginal redness,pain during intercourse"
diabetic retinopathy,"foreign body sensation in eye,symptoms of eye,abnormal movement of eyelid,lacrimation,diminished vision"
pyloric stenosis,"arm stiffness or tightness,vomiting"
cirrhosis,"peripheral edema,upper abdominal pain,blood in stool,abdominal distention,sharp abdominal pain,vomiting blood"
acute pancreatitis,"back pain,diarrhea,lower body pain,abusing alcohol,sharp chest pain,vomiting"
pyelonephritis,"painful urination,lower abdominal pain,suprapubic pain,blood in urine,frequent urination,sharp abdominal pain"
fibromyalgia,"headache,ache all over,hip pain,neck pain,arm pain,low back pain,back pain"
acute pancreatitis,"hemoptysis,upper abdominal pain,lower body pain,abusing alcohol,side pain,sharp abdominal pain,diarrhea,sharp chest pain"
chronic pain disorder,"hip pain,shoulder pain,back pain,headache,leg pain,pelvic pain,sharp abdominal pain,knee pain"
